,Year,Area,Count
417,1959,Northern Africa,1.0
418,1959,Northern Asia,0.0
419,1959,Northern Europe,0.0
420,1959,Pacific,1.0
421,1959,South America,1.0
422,1959,South Asia,0.0
423,1959,South East Asia,0.0
424,1959,South East Europe,0.0
425,1959,South West Asia,1.0
426,1959,South West Europe,0.0
427,1959,Southern Africa,0.0
428,1959,Southern Europe,0.0
429,1959,West Indies,0.0
430,1959,Western Africa,1.0
431,1959,Western Europe,11.0
432,1960,Central Africa,0.0
433,1960,Central America,4.0
434,1960,Central Asia,0.0
435,1960,Central Europe,2.0
436,1960,East Asia,3.0
437,1960,Eastern Africa,0.0
438,1960,Eastern Europe,0.0
439,1960,Indian Ocean,0.0
440,1960,North America,20.0
441,1960,Northern Africa,1.0
442,1960,Northern Asia,0.0
443,1960,Northern Europe,0.0
444,1960,Pacific,2.0
445,1960,South America,1.0
446,1960,South Asia,0.0
447,1960,South East Asia,0.0
448,1960,South East Europe,0.0
449,1960,South West Asia,1.0
450,1960,South West Europe,0.0
451,1960,Southern Africa,0.0
452,1960,Southern Europe,0.0
453,1960,West Indies,0.0
454,1960,Western Africa,1.0
455,1960,Western Europe,12.0
456,1961,Central Africa,0.0
457,1961,Central America,4.0
458,1961,Central Asia,0.0
459,1961,Central Europe,2.0
460,1961,East Asia,3.0
461,1961,Eastern Africa,0.0
462,1961,Eastern Europe,0.0
463,1961,Indian Ocean,0.0
464,1961,North America,22.0
465,1961,Northern Africa,1.0
466,1961,Northern Asia,0.0
467,1961,Northern Europe,0.0
468,1961,Pacific,2.0
469,1961,South America,1.0
470,1961,South Asia,0.0
471,1961,South East Asia,1.0
472,1961,South East Europe,0.0
473,1961,South West Asia,1.0
474,1961,South West Europe,0.0
475,1961,Southern Africa,0.0
476,1961,Southern Europe,0.0
477,1961,West Indies,0.0
478,1961,Western Africa,1.0
479,1961,Western Europe,13.0
480,1962,Central Africa,0.0
481,1962,Central America,4.0
482,1962,Central Asia,0.0
483,1962,Central Europe,2.0
484,1962,East Asia,3.0
485,1962,Eastern Africa,0.0
486,1962,Eastern Europe,0.0
487,1962,Indian Ocean,0.0
488,1962,North America,25.0
489,1962,Northern Africa,1.0
490,1962,Northern Asia,0.0
491,1962,Northern Europe,0.0
492,1962,Pacific,2.0
493,1962,South America,1.0
494,1962,South Asia,0.0
495,1962,South East Asia,1.0
496,1962,South East Europe,0.0
497,1962,South West Asia,1.0
498,1962,South West Europe,0.0
499,1962,Southern Africa,0.0
500,1962,Southern Europe,0.0
501,1962,West Indies,0.0
502,1962,Western Africa,1.0
503,1962,Western Europe,15.0
504,1963,Central Africa,0.0
505,1963,Central America,4.0
506,1963,Central Asia,0.0
507,1963,Central Europe,2.0
508,1963,East Asia,3.0
509,1963,Eastern Africa,0.0
510,1963,Eastern Europe,0.0
511,1963,Indian Ocean,0.0
512,1963,North America,30.0
513,1963,Northern Africa,1.0
514,1963,Northern Asia,0.0
515,1963,Northern Europe,0.0
516,1963,Pacific,3.0
517,1963,South America,1.0
518,1963,South Asia,0.0
519,1963,South East Asia,1.0
520,1963,South East Europe,0.0
521,1963,South West Asia,1.0
522,1963,South West Europe,0.0
523,1963,Southern Africa,0.0
524,1963,Southern Europe,0.0
525,1963,West Indies,0.0
526,1963,Western Africa,1.0
527,1963,Western Europe,16.0
528,1964,Central Africa,0.0
529,1964,Central America,4.0
530,1964,Central Asia,0.0
531,1964,Central Europe,2.0
532,1964,East Asia,3.0
533,1964,Eastern Africa,0.0
534,1964,Eastern Europe,0.0
535,1964,Indian Ocean,0.0
536,1964,North America,31.0
537,1964,Northern Africa,2.0
538,1964,Northern Asia,0.0
539,1964,Northern Europe,0.0
540,1964,Pacific,3.0
541,1964,South America,1.0
542,1964,South Asia,0.0
543,1964,South East Asia,1.0
544,1964,South East Europe,0.0
545,1964,South West Asia,1.0
546,1964,South West Europe,0.0
547,1964,Southern Africa,0.0
548,1964,Southern Europe,0.0
549,1964,West Indies,0.0
550,1964,Western Africa,1.0
551,1964,Western Europe,16.0
552,1965,Central Africa,0.0
553,1965,Central America,5.0
554,1965,Central Asia,0.0
555,1965,Central Europe,2.0
556,1965,East Asia,6.0
557,1965,Eastern Africa,0.0
558,1965,Eastern Europe,0.0
559,1965,Indian Ocean,0.0
560,1965,North America,34.0
561,1965,Northern Africa,2.0
562,1965,Northern Asia,0.0
563,1965,Northern Europe,0.0
564,1965,Pacific,3.0
565,1965,South America,1.0
566,1965,South Asia,0.0
567,1965,South East Asia,1.0
568,1965,South East Europe,0.0
569,1965,South West Asia,1.0
570,1965,South West Europe,0.0
571,1965,Southern Africa,0.0
572,1965,Southern Europe,0.0
573,1965,West Indies,0.0
574,1965,Western Africa,1.0
575,1965,Western Europe,18.0
576,1966,Central Africa,0.0
577,1966,Central America,5.0
578,1966,Central Asia,0.0
579,1966,Central Europe,2.0
580,1966,East Asia,6.0
581,1966,Eastern Africa,0.0
582,1966,Eastern Europe,0.0
583,1966,Indian Ocean,0.0
584,1966,North America,42.0
585,1966,Northern Africa,2.0
586,1966,Northern Asia,0.0
587,1966,Northern Europe,0.0
588,1966,Pacific,3.0
589,1966,South America,2.0
590,1966,South Asia,0.0
591,1966,South East Asia,6.0
592,1966,South East Europe,0.0
593,1966,South West Asia,1.0
594,1966,South West Europe,0.0
595,1966,Southern Africa,0.0
596,1966,Southern Europe,0.0
597,1966,West Indies,0.0
598,1966,Western Africa,1.0
599,1966,Western Europe,24.0
600,1967,Central Africa,0.0
601,1967,Central America,5.0
602,1967,Central Asia,0.0
603,1967,Central Europe,2.0
604,1967,East Asia,8.0
605,1967,Eastern Africa,0.0
606,1967,Eastern Europe,0.0
607,1967,Indian Ocean,0.0
608,1967,North America,47.0
609,1967,Northern Africa,2.0
610,1967,Northern Asia,0.0
611,1967,Northern Europe,0.0
612,1967,Pacific,4.0
613,1967,South America,2.0
614,1967,South Asia,0.0
615,1967,South East Asia,11.0
616,1967,South East Europe,0.0
617,1967,South West Asia,1.0
618,1967,South West Europe,0.0
619,1967,Southern Africa,0.0
620,1967,Southern Europe,0.0
621,1967,West Indies,0.0
622,1967,Western Africa,1.0
623,1967,Western Europe,31.0
